Name,Price,Brand,Img,Img2,materialGlass,sizeFace
Casio - Nam AE-1200WHD-1AVDF Size 45 x 42.1 mm Chính Hãng Giá Tốt Nhất,1.120.000₫,Casio,https://wscdn.vn/upload/original-image/1-KHUNG-SP-6676612-1785849039.jpg,https://wscdn.vn/upload/image/AE-1200WHD-1AVDF-1-238335026-1932585370.jpg,Kính Nhựa,45 x 42.1 mm
Casio - Nam MTP-1374L-1AVDF Size 43.5mm Chính Hãng Giá Tốt Nhất,1.700.000₫,Casio,https://wscdn.vn/upload/original-image/1-KHUNG-SP-1-1818542633-1853976209.jpg,https://wscdn.vn/upload/image/MTP-1374L-1AVDF-1499993290-2117200442.jpg,Kính Khoáng,43.5mm
Casio - Nam MTP-VT01L-1BUDF Size 40mm Chính Hãng Giá Tốt Nhất,880.000₫,Casio,https://wscdn.vn/upload/original-image/1-KHUNG-SP-1295457203-1427251284.jpg,https://wscdn.vn/upload/original-image/MTP-VT01L-1BUDF-2.jpg,Kính Khoáng,40mm
Casio - Nam F-91W-1DG Size 38.2 × 35.2 mm Chính Hãng Giá Tốt Nhất,460.000₫,Casio,https://wscdn.vn/upload/original-image/1-KHUNG-SP-1682557627-1126096865.jpg,,Kính Nhựa,38.2 × 35.2 mm
Casio - Nam MTP-1375L-1AVDF Size 42mm Chính Hãng Giá Tốt Nhất,1.700.000₫,Casio,https://wscdn.vn/upload/original-image/1-KHUNG-SP-1713613917-2013531959.jpg,https://wscdn.vn/upload/original-image/MTP-1375L-1AVDF-923686696-431528004.jpg,Kính Khoáng,42mm
Casio - Nam MTP-VT01D-1BUDF Size 40mm Chính Hãng Giá Tốt Nhất,960.000₫,Casio,https://wscdn.vn/upload/original-image/1-KHUNG-SP-1113166261-1114105371.jpg,https://wscdn.vn/upload/original-image/MTP-VT01D-1BUDF-1.jpg,Kính Khoáng,40mm
Casio - Nam AE-1500WH-8BVDF Size 51.2mm Chính Hãng Giá Tốt Nhất,970.000₫,Casio,https://wscdn.vn/upload/original-image/1-KHUNG-SP-1658357996-775085452.jpg,,Kính Nhựa,51.2mm
Casio - Nam MTP-1375L-7AVDF Size 42mm Chính Hãng Giá Tốt Nhất,1.700.000₫,Casio,https://wscdn.vn/upload/original-image/1-KHUNG-SP-913224839-1678629174.jpg,https://wscdn.vn/upload/image/MTP-1375L-7AVDF-1124369917-91306134.jpg,Kính Khoáng,42mm
Casio - Nam MTP-VD01L-1EVUDF Size 45mm Chính Hãng Giá Tốt Nhất,880.000₫,Casio,https://wscdn.vn/upload/original-image/1-KHUNG-SP-1274501040-1790641903.jpg,https://wscdn.vn/upload/original-image/MTP-VD01L-1EVUDF.jpg,Kính Khoáng,45mm
Casio - Nam GA-2100-1A1DR Size 45.4mm Chính Hãng Giá Tốt Nhất,2.860.000₫,Casio,https://wscdn.vn/upload/original-image/1-KHUNG-SP-1383270855-242703146.jpg,https://wscdn.vn/upload/original-image/GA-2100-1A1DR-2.jpg,Kính Khoáng,45.4mm
